"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"302","202.10.78.29","2018-03-19","eni-dd7ab728","10.83.11.120",42314,1433,6,"2018-02-24","REJECT",4,2,"Malicious Host","CN","Beijing","39.9289016724,116.388298035","3","Malicious Host"
"303","203.24.188.224","2018-03-19","eni-9815cf73","10.80.1.227",57195,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"304","203.24.188.224","2018-03-19","eni-9815cf73","10.80.1.227",43095,8545,6,"2018-02-23","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"305","203.24.188.224","2018-03-19","eni-3387459c","10.80.8.218",35524,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"306","203.24.188.224","2018-03-19","eni-d9305775","10.80.11.80",48512,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"307","203.24.188.224","2018-03-19","eni-28fb6c93","10.83.1.30",52201,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"308","203.24.188.224","2018-03-19","eni-f46d752b","10.80.7.127",47854,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"309","203.24.188.224","2018-03-19","eni-69242a68","10.83.2.79",45385,8545,6,"2018-02-23","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"310","203.24.188.224","2018-03-19","eni-746177b9","10.80.9.242",45018,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"311","203.24.188.224","2018-03-19","eni-821d206a","10.83.1.13",59120,8545,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"312","203.24.188.224","2018-03-19","eni-38cc39e6","10.80.4.143",41516,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
